,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1978-12-01,6044.6977255,6053.0797094,6125.3604376,3886.0273427,3891.1166285,3936.0245076,2158.6703828,2161.9630809,2189.33593,5114.1141141,5112.5954614,5178.9942273,3687.706737,3689.1301699,3731.5886802,1426.4073771,1423.4652915,1447.4055471,930.5836114,940.484248,946.3662103,198.3206057,201.9864586,204.4358274,732.2630057,738.4977894,741.9303829,56.8700393,56.9485143,57.628545,74.1888978,74.2888722,75.1462497,40.0421349,40.1015563,40.6092864,406.335079,414.2634007,444.6140912,224.4135877,224.4034557,242.9163832,181.9214913,189.8599451,201.697708,342.6459939,350.4043968,376.3655133,209.2921276,208.402862,220.9667888,133.3538663,142.0015348,155.3987245,63.6890851,63.8590039,68.2485779,15.1214601,16.0005936,21.9495944,48.567625,47.8584103,46.2989835,6.2987601,6.405465,6.767364,5.4595989,5.4526148,5.8128696,7.7724568,8.072884,8.4355864,6.2792937,6.4141389,6.774818,5.3705976,5.3470454,5.5904791,8.5496333,9.0708747,9.6954274,6.4055953,6.3582848,6.7265507,7.0845735,7.3401578,9.6956748,6.2199948,6.0860982,5.8737958,6451.0328045,6467.3431101,6569.9745288,4110.4409304,4115.5200842,4178.9408908,2340.5918741,2351.8230259,2391.033638,60.6929421,60.8459824,61.8115581,78.4732209,78.5731642,79.7839889,43.4166774,43.6232072,44.3505122,4059.0643212,1058.8780599,3000.1862613,10629.03885,5237.8189507,5391.2198993
1979-01-01,6049.964192,6050.9419197,5971.3288253,3892.1126886,3890.7737091,3884.1169328,2157.8515034,2160.1682106,2087.2118925,5117.681707,5120.3523916,5141.7025195,3694.2403893,3694.3539385,3701.1296142,1423.4413177,1425.9984531,1440.5729053,932.282485,930.5895281,829.6263058,197.8722993,196.4197705,182.9873186,734.4101857,734.1697576,646.6389872,56.83447,56.8495949,56.1016168,74.1986755,74.1818246,74.054906,39.9646951,40.0115762,38.6602475,406.9919666,411.8077382,449.9030488,223.0591086,223.4403483,251.4086818,183.9328579,188.3673899,198.494367,342.9991008,347.5747763,394.2565631,208.0713253,208.7298538,236.3898293,134.9277754,138.8449225,157.8667338,63.9928658,64.2329619,55.6464857,14.9877833,14.7104945,15.0188525,49.0050825,49.5224674,40.6276332,6.3031552,6.3720206,7.0064912,5.4204082,5.4309364,6.0792437,7.8543892,8.0206317,8.6841591,6.2812516,6.3566095,7.1217391,5.3320017,5.3478189,6.0035216,8.6582682,8.872768,9.8763025,6.4232108,6.456726,6.285801,7.0411432,6.9674968,7.5850426,6.2553137,6.3191219,5.9114806,6456.9561586,6462.7496579,6421.2318741,4115.1717972,4114.2140574,4135.5256146,2341.7843614,2348.5356005,2285.7062595,60.6578269,60.7185963,60.3285299,78.4510422,78.4419574,78.8482854,43.3712412,43.500599,42.3368466,4222.5412828,1109.3894682,3113.1518146,10643.7731569,5244.9150828,5398.8580741
1979-02-01,6055.2059421,6063.4292218,6050.6934726,3897.9893609,3900.7902701,3907.789697,2157.2165813,2162.6389517,2142.9037756,5120.4346389,5129.3682556,5149.3405717,3700.1228331,3704.2086813,3723.3633127,1420.3118058,1425.1595743,1425.977259,934.7713032,934.0609662,901.3529009,197.8665278,196.5815887,184.4263843,736.9047755,737.4793774,716.9265166,56.7978452,56.8764226,56.7569582,74.2024512,74.2568357,74.3900793,39.8906606,39.99257,39.6276175,407.5338292,404.7250436,458.0850562,221.6329541,219.2210386,243.2240516,185.9008751,185.5040051,214.8610046,343.5215701,340.697665,384.9383577,206.846782,206.5576005,230.6059274,136.6747881,134.1400644,154.3324303,64.0122591,64.0273787,73.1466985,14.7861721,12.663438,12.6181242,49.226087,51.3639406,60.5285743,6.3058988,6.2571953,7.0379573,5.3799338,5.3208844,5.8593892,7.9339119,7.9000303,9.1129109,6.2870484,6.2284014,6.9555287,5.2943023,5.281768,5.8322641,8.7781609,8.6025842,9.7659611,6.4090221,6.4150011,7.5060778,6.9532022,6.0519661,6.4036924,6.2618184,6.5112982,7.7854753,6462.7397713,6468.1542654,6508.7785288,4119.622315,4120.0113086,4151.0137486,2343.1174563,2348.1429568,2357.7647802,60.6205135,60.6728407,61.053906,78.4214746,78.4300056,79.0201791,43.3282888,43.4230002,43.6009316,4151.9292823,1102.0922226,3049.8370597,10660.7078111,5253.1059712,5407.6018399
1979-03-01,6061.061995,6055.5335236,6096.1752153,3903.9898968,3902.3877322,3919.2449757,2157.0720983,2153.1457913,2176.9302396,5123.5516799,5124.0916738,5148.1316976,3705.8694696,3704.3909014,3719.2781588,1417.6822103,1419.7007724,1428.8535388,937.5103151,931.4418497,948.0435177,198.1204272,197.9968308,199.9668169,739.3898879,733.4450189,748.0767008,56.7676021,56.7004797,57.0810247,74.2083223,74.1561722,74.4765065,39.8268701,39.7444751,40.1835073,407.7718863,407.3745404,428.382213,220.2145943,221.9554278,224.1812965,187.557292,185.4191126,204.2009165,343.8571808,344.7540345,356.0560663,205.69223,206.5994594,207.4216003,138.1649508,138.154575,148.634466,63.9147055,62.6205059,72.3261467,14.5223643,15.3559683,16.7596962,49.3923412,47.2645376,55.5664505,6.3036382,6.3032699,6.56569,5.3395654,5.3815946,5.4105294,7.999443,7.9287563,8.5757946,6.2892165,6.3039634,6.4688212,5.2585705,5.2825356,5.2823392,8.8803678,8.8682544,9.4222248,6.3823755,6.2994545,7.0882298,6.8294647,7.1974534,7.7331084,6.2618476,6.0540488,6.9143189,6468.8338814,6462.908064,6524.5574283,4124.2044911,4124.34316,4143.4262722,2344.6293903,2338.564904,2381.1311561,60.5867731,60.514897,61.0921456,78.3942337,78.3739399,78.7365719,43.2898141,43.1670883,43.95281,4155.3055274,1118.9647286,3036.3407988,10679.8629557,5262.3910008,5417.4719549
1979-04-01,6067.7184895,6064.6003096,6087.6537083,3910.460411,3910.0685251,3920.4282316,2157.2580785,2154.5317845,2167.2254767,5127.6383176,5121.1511977,5128.5430559,3711.7580269,3712.0504594,3718.0660212,1415.8802907,1409.1007382,1410.4770347,940.0801719,943.4491119,959.1106524,198.7023841,198.0180656,202.3622104,741.3777878,745.4310463,756.748442,56.7469489,56.7205657,56.9361779,74.2249537,74.2220167,74.4186675,39.7712824,39.7222303,39.9562587,407.3866253,421.4925036,420.5706013,218.6006428,228.8554766,219.0635054,188.7859825,192.6370271,201.5070959,343.5450183,354.7264351,349.6629608,204.357471,213.2594641,203.8478397,139.1875472,141.466971,145.8151211,63.841607,66.7660685,70.9076405,14.2431718,15.5960124,15.2156657,49.5984352,51.1700561,55.6919748,6.2915832,6.4984038,6.4621405,5.2941974,5.5293472,5.2920387,8.0469922,8.207208,8.5069585,6.2791721,6.4779832,6.3828005,5.2183719,5.4329332,5.1976623,8.9505772,9.1235597,9.3693925,6.3592212,6.6090938,6.8841147,6.6886448,7.3010227,6.9932044,6.2705343,6.4235482,6.8548996,6475.1051147,6486.0928132,6508.2243096,4129.0610538,4138.9240017,4139.491737,2346.0440609,2347.1688116,2368.7325726,60.5569391,60.662671,60.8696609,78.3742407,78.5662155,78.5769924,43.2517471,43.2738011,43.6713635,4183.8416794,1128.5792479,3055.2624315,10692.065989,5268.0709849,5423.9950041
1979-05-01,6075.5722996,6070.2202997,6075.6109053,3917.4263809,3919.356237,3922.2725815,2158.1459187,2150.8640628,2153.3383238,5132.8803922,5118.514162,5116.8218821,3717.927462,3711.8711085,3711.5767147,1414.9529302,1406.6430535,1405.2451674,942.6919075,951.7061377,958.7890232,199.4989189,207.4851284,210.6958668,743.1929885,744.2210093,748.0931564,56.7402242,56.6968377,56.7471868,74.2541352,74.303028,74.3583159,39.7308358,39.5988987,39.6444516,406.6826402,401.4829876,400.0632778,216.7712127,216.1891621,211.6543643,189.9114275,185.2938255,188.4089135,342.4761226,341.5351906,337.9079754,202.5836945,203.551457,198.5293616,139.892428,137.9837335,139.3786138,64.2065177,59.9477971,62.1553024,14.1875182,12.6377051,13.1250027,50.0189995,47.310092,49.0302997,6.2737835,6.203668,6.1779402,5.2433685,5.2275853,5.1199348,8.0880234,7.9315626,8.0456554,6.2548643,6.2551667,6.1947701,5.1672776,5.1987098,5.0773395,8.9971924,8.9331439,9.0234668,6.3766628,5.9257217,6.0880208,6.6394098,5.7412059,5.8640656,6.3058804,5.9770351,6.1509041,6482.2549399,6471.7032873,6475.6741831,4134.1975937,4135.5453991,4133.9269458,2348.0573462,2336.1578882,2341.7472373,60.5382638,60.4467536,60.4838424,78.3629958,78.4015351,78.3708525,43.2270497,43.0102865,43.1131903,4230.7788536,1140.9001294,3089.8787242,10706.4530367,5274.8270752,5431.6259615
1979-06-01,6085.6830568,6099.3457732,6095.7340512,3924.7414395,3927.8310644,3928.0379577,2160.9416173,2171.5147087,2167.6960935,5140.1067603,5153.0822697,5140.9845119,3724.4685483,3727.8660725,3724.8303044,1415.6382119,1425.2161972,1416.1542075,945.5762965,946.2635034,954.7495393,200.2728911,199.9649919,203.2076533,745.3034054,746.2985115,751.541886,56.7567148,56.8737713,56.8400935,74.2930153,74.3314281,74.3353434,39.7267726,39.9165003,39.846307,405.7312632,406.7442641,393.0114144,214.4448264,216.6507569,207.2969959,191.2864368,190.0935072,185.7144185,340.4655093,340.8507778,326.8001995,200.022959,202.0233268,194.1416554,140.4425503,138.8274509,132.6585441,65.2657539,65.8934864,66.2112149,14.4218674,14.6274301,13.1553405,50.8438865,51.2660563,53.0558744,6.2502753,6.2517466,6.0568166,5.180845,5.227451,5.0128224,8.1321382,8.0493244,7.8912887,6.2122255,6.2041305,5.97683,5.0967866,5.1406873,4.9538924,9.0254024,8.8761878,8.5651764,6.4565729,6.5102042,6.4851871,6.7173822,6.8163777,6.0802174,6.3862412,6.4278252,6.5940868,6491.41432,6506.0900373,6488.7454656,4139.1862658,4144.4818213,4135.3349536,2352.2280541,2361.608216,2353.410512,60.5406736,60.6664863,60.5047556,78.352328,78.4313906,78.2582926,43.2433844,43.4107744,43.2600853,4235.6106635,1148.8781492,3086.7325143,10724.3561291,5284.2131028,5440.1430263
1979-07-01,6098.6722056,6097.4142605,6103.921742,3932.1670287,3930.2157726,3927.7699094,2166.5051769,2167.1984879,2176.1518326,5149.8767806,5148.4167711,5145.9073973,3731.2132275,3729.7139458,3731.0233523,1418.6635531,1418.7028254,1414.884045,948.7954251,948.9974894,958.0143447,200.9538013,200.5018269,196.7465571,747.8416238,748.4956625,761.2677876,56.8008242,56.7920242,56.8526357,74.3358696,74.2995489,74.2533106,39.7734825,39.7891886,39.9535696,404.7218982,408.0067733,387.09792,211.65633,212.3314198,203.6017799,193.0655682,195.6753535,183.4961401,337.8223794,340.436889,323.2152028,196.7603923,197.7831304,189.9967377,141.061987,142.6537586,133.2184651,66.8995189,67.5698843,63.8827172,14.8959376,14.5482894,13.6050422,52.0035812,53.021595,50.277675,6.2232412,6.2717966,5.9635919,5.1077546,5.1256246,4.9281884,8.1822327,8.2812442,7.7764201,6.1559931,6.2023313,5.9098182,5.0092086,5.0358568,4.8455946,9.0440262,9.1365265,8.6052741,6.5865759,6.6468673,6.2513848,6.9010682,6.7650693,6.4677627,6.5017057,6.6151533,6.1952999,6503.3941039,6505.4210338,6491.019662,4143.8233587,4142.5471924,4131.3716893,2359.5707451,2362.8738415,2359.6479727,60.5702573,60.5922467,60.4581106,78.3371385,78.3136106,78.1023411,43.3178498,43.3817361,43.32251,4245.3721885,1158.318264,3087.0539245,10736.3918505,5289.6899533,5446.7018972
1979-08-01,6113.948242,6114.7514154,6078.5215923,3939.2561737,3944.9006496,3921.1050216,2174.6920684,2169.8507658,2157.4165707,5161.2985599,5166.812502,5113.12722,3737.5934745,3743.8072833,3715.9268475,1423.7050854,1423.0052186,1397.2003725,952.6496822,947.9389134,965.3943723,201.6626992,201.0933662,205.1781741,750.986983,746.8455472,760.2161982,56.8654135,56.8779223,56.5409213,74.3727575,74.4846915,74.0354001,39.8667743,39.781644,39.5536777,403.8961366,398.4780149,377.4968015,208.9343807,205.9157249,197.547901,194.9617559,192.56229,179.9489005,335.0945359,330.7090302,315.8252824,193.4562483,191.5156954,184.0071271,141.6382876,139.1933348,131.8181553,68.8016007,67.7689846,61.6715191,15.4781324,14.4000295,13.5407739,53.3234683,53.3689552,48.1307452,6.1967748,6.1179791,5.8472077,5.0367595,4.9608488,4.7964202,8.2274362,8.1510847,7.6987918,6.0966261,6.0156023,5.8174258,4.9212364,4.8665814,4.7182113,9.0483845,8.9100924,8.621096,6.7356713,6.6720939,6.0046312,7.1281538,6.682353,6.1909469,6.6297122,6.6693312,5.9542187,6517.8443786,6513.2294302,6456.0183938,4148.1905543,4150.8163744,4118.6529226,2369.6538243,2362.4130558,2337.3654712,60.6220238,60.5844673,60.0523043,78.3174175,78.3726397,77.7653532,43.4408419,43.3120455,42.8528277,4294.640508,1177.604026,3117.036482,10750.6589018,5296.2569486,5454.4019532
1979-09-01,6131.1702487,6116.7661414,6157.7891488,3945.8588257,3942.830153,3957.1031067,2185.3114231,2173.9359884,2200.6860421,5173.3752206,5161.6239657,5185.6337359,3742.9525939,3737.76574,3749.9435411,1430.4226268,1423.8582258,1435.6901948,957.7950281,955.1421757,972.1554129,202.9062318,205.064413,207.1595656,754.8887963,750.0777626,764.9958473,56.9462776,56.8107437,57.1917535,74.3998538,74.3378559,74.6069572,40.0023937,39.7939234,40.2835835,403.3210245,406.542215,400.4312018,206.9358118,207.4006674,202.8435919,196.3852127,199.1415476,197.5876099,332.9592192,337.0967242,326.0417376,190.8902736,190.3781184,185.799468,142.0689456,146.7186057,140.2422696,70.3618053,69.4454908,74.3894642,16.0455382,17.022549,17.0441239,54.3162671,52.4229418,57.3453403,6.1721871,6.2321478,6.1057906,4.9830495,4.9973285,4.8761104,8.2456015,8.3917,8.2387433,6.0468397,6.1304573,5.9154741,4.8525139,4.8465159,4.7208232,9.0346396,9.3417019,8.8990025,6.8434895,6.7778964,7.1081007,7.3283437,7.6648124,7.6020711,6.7122995,6.5324481,6.9734243,6534.4912732,6523.3083564,6558.2203506,4152.7946374,4150.2308204,4159.9466986,2381.6966358,2373.0775359,2398.273652,60.6923212,60.5865895,60.9108419,78.3016645,78.2481742,78.4313567,43.5972491,43.4392118,43.900427,4208.6975617,1143.9864141,3064.7111476,10766.9179123,5303.9331127,5462.9847996
1979-10-01,6149.5956307,6152.0606833,6164.0483187,3951.5535744,3947.7352553,3947.1104198,2198.0420563,2204.3254279,2216.9378989,5185.6740158,5186.107508,5176.5443439,3746.7588776,3747.1161513,3742.0241499,1438.9151383,1438.9913567,1434.520194,963.9216149,965.9531753,987.5039748,204.7946968,200.6191041,205.0862699,759.126918,765.3340712,782.4177049,57.0363663,57.0628776,57.1740678,74.4085492,74.3418525,74.3300859,40.174435,40.2914562,40.5219915,402.8919534,419.5056688,391.3802576,206.0064096,209.808947,197.3300712,196.8855438,209.6967218,194.0501864,331.8470042,345.291625,314.3075368,189.6000143,191.5802698,179.4268455,142.2469898,153.7113552,134.8806913,71.0449492,74.2140439,77.0727208,16.4063953,18.2286772,17.9032257,54.6385539,55.9853666,59.1694951,6.148687,6.3836481,5.970323,4.9549835,5.0464634,4.7613199,8.2209393,8.6866113,8.0485751,6.0144221,6.2423921,5.7242035,4.8166343,4.8640527,4.5755218,8.996357,9.6509759,8.5944065,6.8644681,7.1348186,7.2397528,7.4169594,8.3293863,8.0287305,6.7142876,6.8165155,7.0307028,6552.4875841,6571.5663521,6555.4285763,4157.559984,4157.5442024,4144.440491,2394.9276001,2414.0221497,2410.9880853,60.7731149,60.9539641,60.8042796,78.2876914,78.2928737,78.0461109,43.7729855,44.1243686,44.0689109,4225.7674423,1165.8055182,3059.9619241,10781.1960186,5310.2460092,5470.9500094
1979-11-01,6168.3773256,6180.3994739,6188.8406484,3956.2549137,3960.0991845,3946.7469574,2212.122412,2220.3002895,2242.093691,5198.1360053,5207.6426621,5184.4271436,3749.1070792,3752.414303,3734.7009183,1449.0289262,1455.2283591,1449.7262253,970.2413203,972.7568118,1004.4135048,207.1478345,207.6848815,212.0460391,763.0934858,765.0719304,792.3674657,57.1283029,57.2387582,57.3169348,74.3969187,74.4697864,74.2186973,40.369663,40.517524,40.9152246,402.3167512,397.6404293,363.5518534,206.1095847,200.8289677,184.9616305,196.2071665,196.8114615,178.5902229,331.8638875,326.4938547,298.8535351,189.8049547,185.7484146,172.5069916,142.0589328,140.7454401,126.3465435,70.4528637,71.1465746,64.6983183,16.30463,15.0805531,12.4546389,54.1482337,56.0660215,52.2436794,6.1228958,6.0449683,5.5483833,4.9517428,4.8265425,4.4766379,8.1470231,8.1424229,7.3776763,6.0011554,5.899635,5.4502688,4.8187152,4.7166262,4.4150963,8.9284154,8.8187814,8.0165425,6.7697951,6.8154367,6.0515951,7.2966884,6.7697007,5.5477066,6.6257305,6.8278444,6.1855304,6570.6940769,6578.0399032,6552.3925018,4162.3644984,4160.9281522,4131.7085879,2408.3295785,2417.111751,2420.6839139,60.8543514,60.92144,60.6839108,78.2727858,78.2463813,77.6969065,43.9503045,44.1090712,44.1742584,4245.1853349,1186.0174019,3059.167933,10797.5778367,5317.7259898,5479.8518469
1979-12-01,6186.8716713,6183.8818583,6257.1652478,3960.1502951,3961.8336378,4006.7269324,2226.7213763,2222.0482205,2250.4383154,5211.3436201,5211.3143183,5279.0278347,3750.7504334,3753.3964267,3796.2471844,1460.5931867,1457.9178916,1482.7806503,975.5280513,972.56754,978.1374131,209.3998617,208.4372112,210.479748,766.1281896,764.1303289,767.6576651,57.2164506,57.1727227,57.8502601,74.3678785,74.3828332,75.2256981,40.5736114,40.4754543,40.9925906,401.7304679,403.1362949,430.9599511,207.2142547,208.5172422,225.9537288,194.5162133,194.6190527,205.0062223,332.9882998,333.3589382,357.0719699,191.3750963,192.1115096,203.7615823,141.6132035,141.2474287,153.3103876,68.7421681,69.7773567,73.8879812,15.8391583,16.4057326,22.1921465,52.9030098,53.3716241,51.6958347,6.0973551,6.1201637,6.4436585,4.9723093,4.9999928,5.3383127,8.0337516,8.0532002,8.3490472,6.0059229,6.0122377,6.3354444,4.854617,4.8691198,5.0940284,8.8386368,8.832572,9.3705291,6.582795,6.6942676,7.0234028,7.0321556,7.2965299,9.5379575,6.4592179,6.5286234,6.3093445,6588.6021393,6587.0181532,6688.1251989,4167.3645497,4170.35088,4232.6806612,2421.2375896,2416.6672732,2455.4445377,60.931671,60.8998961,61.8346754,78.2591663,78.2977132,79.4679455,44.1179369,44.0205144,44.726857,4128.0150247,1093.5935163,3034.4215084,10816.1402236,5326.2741775,5489.8660461
1980-01-01,6204.2776951,6203.7503598,6112.9167413,3963.4984207,3963.8308746,3951.2669514,2240.7792744,2239.9194852,2161.6497899,5225.2401734,5216.3840793,5230.1208901,3752.7644663,3749.9347004,3751.9183026,1472.4757071,1466.4493789,1478.2025875,979.0375216,987.3662804,882.7958512,210.7339544,213.8961742,199.3486488,768.3035673,773.4701062,683.4472024,57.2938679,57.2880122,56.4492168,74.3265312,74.333206,74.0975964,40.7675566,40.7514602,39.3274785,401.9740788,406.3250214,441.6651772,209.1662058,217.9665566,243.8810328,192.8078731,188.3584648,197.7841444,335.1732881,340.2063356,384.1949768,193.8078129,202.9744534,228.3479935,141.3654752,137.2318822,155.8469833,66.8007907,66.1186858,57.4702004,15.3583929,14.9921032,15.5330393,51.4423979,51.1265826,41.9371611,6.0847526,6.1470558,6.7382662,5.012773,5.2122696,5.8134071,7.9227848,7.7568742,8.3826947,6.0278483,6.1225736,6.8431308,4.9107884,5.134812,5.7370029,8.7595655,8.5573041,9.5374697,6.3872962,6.2761869,6.1121212,6.7929733,6.5499655,7.2286473,6.2754073,6.2001926,5.781371,6606.2517739,6610.0753812,6554.5819185,4172.6646264,4181.7974312,4195.1479842,2433.5871475,2428.27795,2359.4339343,61.0059277,61.0401866,60.5277368,78.2489746,78.4207045,78.6710657,44.2754014,44.1783166,42.9258189,4274.4730938,1137.3690537,3137.1040401,10829.0550123,5332.5170379,5496.5379744
1980-02-01,6220.0894921,6221.7899942,6207.2328905,3966.5630991,3966.273003,3972.6658656,2253.526393,2255.5169913,2234.5670249,5238.9521786,5242.4512918,5262.1167073,3755.8126841,3753.5927934,3772.9931203,1483.1394945,1488.8584984,1489.123587,981.1373135,979.3387025,945.1161832,210.750415,212.6802096,199.6727453,770.3868985,766.6584929,745.4434379,57.356419,57.3746378,57.2403985,74.2789824,74.2769884,74.3967084,40.9377786,40.9773185,40.596708,403.3489725,397.041624,448.5370636,211.5782992,209.668389,231.880013,191.7706733,187.373235,216.6570506,338.102839,335.4178404,379.1208451,196.4646603,194.2508862,216.5427327,141.6381787,141.1669543,162.5781124,65.2461336,61.6237835,69.4162185,15.1136389,15.4175028,15.3372803,50.1324946,46.2062807,54.0789382,6.0897217,5.9986663,6.739071,5.0639334,5.0208652,5.5149835,7.8424285,7.6701455,8.8387289,6.0623902,6.0133688,6.7205262,4.9709229,4.92043,5.4277676,8.7173883,8.6604141,9.8430675,6.2353943,5.9198851,6.8421884,6.691476,6.7591659,7.1332861,6.1098488,5.6843748,6.7639055,6623.4384646,6618.8316182,6655.7699541,4178.1413983,4175.941392,4204.5458786,2445.2970663,2442.8902263,2451.2240755,61.075763,61.0359828,61.376612,78.2410574,78.2034797,78.7391602,44.4215032,44.3814395,44.5328455,4188.3769211,1135.2950208,3053.0819003,10844.1468752,5339.8408994,5504.3059758
